,Word,Count
488,"money,",7
489,fan,7
490,jackson,7
491,😍,7
492,good.,7
493,here's,7
494,netflix…,7
495,ok,7
496,billion,7
497,play,7
498,service,7
499,"ford,",7
500,marvel,7
469,years,7
502,both,7
470,hit,7
479,that's,7
468,anima,7
443,😂😂😂,7
449,until,7
448,worry,7
447,i'll,7
446,glad,7
445,1.,7
444,saturday,7
442,family,7
451,100,7
440,we’re,7
439,house,7
438,6.,7
437,cue,7
436,:),7
467,@stranger_things,7
450,e,7
441,another,7
452,$1,7
460,asking,7
466,kinda,7
453,gets,7
465,"now,",7
464,s…,7
462,=,7
461,taking,7
463,must,7
459,...,7
458,officially,7
457,found,7
456,instant,7
454,away,7
455,percy,7
572,told,6
567,said,6
564,spotify,6
565,taken,6
566,ad,6
569,middle,6
568,#theoffice,6
571,subscription,6
570,aws,6
562,ip,6
563,9,6
556,eddy,6
561,companies:,6
560,him,6
559,@live2sing3594,6
558,suggestions,6
557,city,6
555,help,6
554,#lucifer,6
553,tales,6
574,netflix’s,6
552,olympians,6
573,trinkets,6
590,3.,6
575,looks,6
587,brilliant,6
550,tier,6
596,club:,6
595,extra,6
594,@raffaelataide_,6
593,leaks,6
592,"fatherhood,",6
591,@thenightgallery,6
589,rumor,6
588,sa,6
586,ben,6
576,finish,6
585,out.,6
584,petition,6
583,day.,6
582,hotel,6
581,world,6
580,almost,6
579,:,6
578,recently,6
577,took,6
551,week,6
533,nbc,6
549,most,6
525,shared,6
523,bank,6
522,heart,6
521,netflix!!!,6
520,cry,6
519,room,6
518,spiderman,6
517,cant,6
516,em,6
515,makes,6
514,fortune,6
513,seems,6
512,detective,6
510,isn’t,6
509,sorry,6
508,"jobs,",6
507,night.,6
506,believe,6
505,weird,6
504,"year,",6
548,social,6
503,nice,6
524,music,6
511,@williamwehrs,6
526,hell,6
538,app,6
547,available,6
546,→,6
527,to…,6
545,park,6
544,techcrunch,6
543,boy,6
541,falls,6
540,super,6
539,"marriage,",6
542,hilarious,6
537,wants,6
536,@nbc,6
535,game,6
534,big,6
532,bored,6
531,"tv+,",6
528,excellent,6
529,seeing,6
530,bad,6
681,american,5
677,plans,5
678,team,5
679,#luciferseason6,5
680,signed,5
684,miss,5
682,set,5
683,ended,5
687,wow,5
685,glee,5
686,@grantthejohnson,5
688,by…,5
675,german,5
676,having,5
666,less,5
674,morning,5
673,guy,5
672,santa,5
671,@pcatitaly,5
670,@netflixuk,5
669,end,5
668,yesterday,5
667,teenage,5
665,food,5
664,hours,5
663,@george_evanw,5
662,availing,5
690,uk,5
661,"show,",5
689,w,5
712,added,5
691,official,5
692,spend,5
659,kind,5
719,7,5
718,rec,5
717,da,5
716,wrong,5
715,crazy,5
714,beats,5
713,type,5
711,fuck,5
710,@netflixanime,5
709,@n_e_davis…,5
708,!!,5
707,wtf,5
706,happening,5
705,fun,5
704,users,5
703,@dcuswampthing,5
702,omens,5
701,playing,5
700,teen,5
699,"@netflix,",5
698,past,5
697,central,5
696,short,5
695,@netflixhelps,5
694,under,5
693,outside,5
660,:(,5
607,plan,5
658,eating,5
612,share,5
625,❤️,5
624,pizza,5
623,character,5
622,name,5
621,ones,5
620,dude,5
619,yeah,5
618,o…,5
617,making,5
616,f…,5
615,biggest,5
614,list,5
613,n…,5
611,an…,5
627,suggestions?,5
610,buy,5
609,@theofficenbc,5
608,book,5
605,rest,5
604,thom,5
603,recommendations,5
602,watch.,5
601,day?,5
600,b…,5
599,whole,5
598,[video]…,5
597,prince,5
657,murder,5
626,sign,5
606,sur,5
628,using,5
643,absolutely,5
656,left,5
629,though,5
655,half,5
654,twitter,5
653,is…,5
652,second,5
650,lmao,5
649,five,5
648,cancel,5
647,haunting,5
646,hour,5
645,open,5
644,#dark,5
651,n,5
642,yes,5
635,@cpmartialarts33…,5
631,lucifer,5
630,trailer,5
641,months,5
632,working,5
634,couple,5
633,@blockchainrptr,5
636,internet,5
637,kids,5
638,crying,5
639,i’d,5
640,released,5
831,suck,4
839,😌,4
833,bin,4
834,there.,4
835,once,4
836,tried,4
830,plus,4
837,thankyousomuch,4
838,continue,4
844,rid,4
840,fresh,4
841,week.,4
842,analyst,4
843,kill,4
845,talking,4
846,popular,4
847,4.,4
828,tv.,4
848,50,4
829,summer,4
814,haven't,4
827,"frost,",4
816,talk,4
850,fix,4
808,yo,4
809,incarcerated,4
810,learning,4
811,holy,4
812,@fxnetworks,4
813,crime,4
815,i'd,4
817,x,4
826,won’t,4
818,drama,4
819,job,4
820,here’s,4
821,🥰,4
822,of…,4
823,knows,4
824,run,4
825,guess,4
849,animated,4
881,place,4
851,came,4
884,silent,4
875,online,4
876,question,4
877,point,4
878,@netflixfilm,4
879,anymore,4
880,shows.,4
882,supernatural,4
883,writing,4
885,money,4
873,bc,4
886,i’ll,4
887,wasn’t,4
888,leaves,4
889,"""shaft""",4
890,mystery,4
891,minutes,4
892,@samuelljackson,4
806,paid,4
874,superb,4
872,mr.,4
852,@emo_nightmare66,4
861,chill?,4
853,"hello,",4
854,lol.,4
855,based,4
856,@rmcelhenney,4
857,@stevecarell,4
858,@fanma16,4
859,series.,4
860,"dark,",4
862,okay,4
871,@sentaifilmworks,4
863,line,4
864,😊,4
865,show.,4
866,netf…,4
867,update,4
868,learn,4
869,#whentheyseeus,4
870,adam,4
807,between,4
832,dream,4
805,@netflix_ph,4
751,he's,4
743,comes,4
744,@actor_siddharth,4
745,@,4
746,download,4
747,hasn't,4
748,s2,4
749,played,4
750,swear,4
752,@hbo,4
741,video,4
753,missed,4
754,asked,4
755,bro,4
756,dont,4
757,games,4
758,"movie,",4
759,die,4
760,save,4
742,without…,4
740,probably,4
762,literally,4
729,forget,4
720,cool,4
721,voice,4
722,here.,4
724,@sakhireal10,4
725,person,4
726,😩,4
727,network,4
728,change,4
730,version,4
739,decide,4
731,realized,4
732,consume,4
733,stuff,4
734,@bethcarl57,4
735,days,4
736,mad,4
737,thinking,4
738,enjoying,4
761,(and,4
723,funny.,4
763,@sorteioscor,4
794,lmfao,4
786,they’re,4
787,#murdermystery,4
788,ang,4
789,lit,4
790,acc,4
791,canceled,4
792,pilot,4
793,altcoins,4
795,gave,4
784,@sorteiodecnts,4
796,tonight,4
797,@hrajabjp,4
798,martin,4
799,wonder,4
800,access,4
802,"soundtrack,",4
803,books,4
764,@goodomensprime,4
785,actualizar,4
801,let’s,4
783,hard,4
773,contestant,4
782,jessica,4
766,didn't,4
765,😂😂,4
768,“,4
769,box,4
770,friend,4
771,art,4
772,whether,4
767,characters,4
774,compared,4
779,well.,4
775,break,4
804,wild,4
780,🙄,4
778,beautiful,4
777,"day,",4
776,expect,4
781,able,4
1113,confession,3
1112,agree,3
1106,future,3
1111,phone,3
1110,meetings,3
1109,@karkarkaranian,3
1108,we're,3
1107,truly,3
1102,bounty,3
1105,🍏netflix,3
1104,is.,3
1103,tem,3
1101,moment,3
1100,meetings…,3
1099,"like,",3
1098,wait.,3
1097,machine,3
1114,1st,3
1125,part,3
1115,@michaelawat,3
1116,removed,3
1134,complete,3
1095,this!,3
1133,yourself,3
1132,instagram,3
1131,did.,3
1130,@lucifercontest,3
1129,everybody,3
1128,this?,3
1127,‘stranger,3
1126,#netflix…,3
1124,@jessicajones,3
1122,crypto,3
1121,4k,3
1120,beer,3
1119,forensic,3
1118,ver,3
1117,“the,3
1096,cuddle,3
1074,excited,3
1094,fake,3
1093,me.,3
1071,couldn’t,3
1070,❤,3
1069,@change,3
1068,sooo,3
1067,umbrella,3
1066,boys,3
1065,genesis,3
1064,missing,3
1063,you.,3
1062,forgot,3
1061,looked,3
1060,bly,3
1059,7.,3
