,Word,Count
0,netflix,1026
1,the,842
2,on,701
3,i,624
4,to,538
5,a,473
6,is,465
7,and,428
8,@netflix,328
9,of,320
10,it,280
11,you,259
12,for,237
13,my,213
14,in,206
15,this,190
16,watch,176
17,that,160
18,so,155
19,have,149
20,but,134
21,just,133
22,be,130
23,at,126
24,they,113
25,was,112
26,me,111
27,with,109
28,office,104
29,if,104
30,watching,102
31,not,101
32,good,99
33,show,99
34,netflix.,97
35,i’m,92
36,all,91
39,day,89
40,one,89
38,season,89
37,up,89
41,what,83
42,are,79
43,like,78
44,time,77
45,out,75
46,we,74
47,it’s,72
48,can,70
50,get,68
51,off,68
49,by,68
52,do,67
53,into,66
54,about,66
55,now,65
56,or,65
57,from,65
58,when,65
59,new,64
60,really,59
61,how,57
62,"netflix,",57
64,i'm,55
63,need,55
65,movie,53
66,been,53
67,has,53
68,your,53
69,-,52
70,some,52
71,will,52
72,know,51
73,got,51
74,&amp;,51
76,back,50
75,no,50
77,tv,48
78,watched,46
79,see,45
80,am,45
81,as,44
82,series,44
83,shows,44
84,why,42
85,would,42
86,#netflix,42
87,love,42
91,netflix?,40
92,more,40
89,its,40
90,after,40
88,don’t,40
93,their,39
94,please,37
95,2,37
96,spiderverse,37
97,an,37
98,going,37
99,want,36
100,it's,36
101,go,35
103,movies,34
102,because,34
105,only,33
106,who,33
107,think,33
104,take,33
108,put,32
109,y’all,31
110,us,31
113,don't,30
114,still,30
112,never,30
111,seen,30
115,pop,29
116,leaving,29
117,saved,29
118,best,29
119,@poptv,29
120,being,28
121,people,27
122,every,27
123,via,27
124,coming,27
129,taking,26
128,did,26
127,netflix's,26
125,spider-verse,26
126,then,26
130,than,25
131,had,25
132,make,25
133,first,25
134,should,23
135,chill,23
136,ever,23
137,fuck,23
141,it.,22
142,im,22
139,last,22
140,streaming,22
138,even,22
143,them,21
144,come,21
145,en,21
146,getting,21
147,where,21
148,before,21
149,already,21
156,any,20
154,@hulu,20
155,thank,20
152,?,20
153,@onedayatatime,20
151,black,20
150,better,20
163,right,19
168,cancelled,19
167,gets,19
166,i’ve,19
165,bad,19
164,lol,19
162,give,19
161,original,19
160,time’,19
159,check,19
158,another,19
157,own,19
175,can't,18
180,3,18
179,keep,18
178,pay,18
176,na,18
177,dark,18
174,much,18
169,could,18
172,her,18
171,there,18
170,most,18
173,too,18
190,episode,17
197,wait,17
196,always,17
195,someone,17
194,gonna,17
193,also,17
192,life,17
191,say,17
188,#odaat,17
189,happy,17
187,recommend,17
186,4,17
185,something,17
184,finished,17
183,way,17
182,end,17
181,home,17
211,started,16
209,these,16
210,start,16
207,things,16
212,well,16
213,hulu,16
214,can’t,16
208,canceled,16
201,finally,16
206,hope,16
204,oh,16
203,free,16
202,hey,16
198,next,16
200,netflix!,16
199,sure,16
205,great,16
223,#shadowhunters,15
229,big,15
228,cancellation,15
227,haven’t,15
226,😂,15
225,hate,15
224,friends,15
222,documentary,15
221,nbc,15
220,episodes,15
219,done,15
218,does,15
217,shit,15
216,made,15
215,literally,15
238,while,14
244,down,14
243,his,14
242,thom,14
241,|,14
240,that’s,14
239,amazon,14
231,everyone,14
237,find,14
235,i've,14
234,saw,14
233,our,14
232,seasons,14
230,binge,14
236,since,14
262,here,13
258,bc,13
259,maybe,13
260,guys,13
261,5,13
265,believe,13
263,cancel,13
264,said,13
266,stop,13
267,white,13
257,a…,13
256,many,13
255,u,13
249,anyone,13
254,what’s,13
245,heard,13
246,evangelion,13
248,fucking,13
247,fourth,13
250,glad,13
251,@cbsallaccess,13
252,omg,13
253,family,13
288,2021,12
283,!,12
284,netflix’s,12
285,over,12
286,bring,12
287,prime,12
293,paul,12
289,thing,12
290,@cbstvstudios,12
291,girl,12
292,years,12
294,found,12
282,@theofficenbc,12
281,picked,12
280,taken,12
273,spider-man,12
268,netflix:,12
279,you’re,12
270,today,12
271,#saveshadowhunters,12
272,thomas,12
269,i’ll,12
274,ass,12
275,yet,12
276,😭,12
277,favorite,12
278,yeah,12
315,yorke,11
314,yes,11
313,okay,11
312,comedy,11
311,two,11
310,he,11
309,@cbs,11
308,return,11
307,'one,11
306,that's,11
305,1,11
304,whole,11
298,seeing,11
303,dont,11
295,version,11
297,long,11
296,feel,11
299,buy,11
300,10,11
301,time',11
302,@_opanicki,11
341,play,10
334,almost,10
336,guess,10
337,—,10
338,man,10
339,again,10
340,"2020""",10
346,absolutely,10
342,@nbc,10
343,night,10
344,service,10
345,spider-man:,10
332,until,10
347,"show,",10
333,‘one,10
335,ya,10
331,twitter,10
323,la,10
316,came,10
330,girls,10
317,having,10
318,content,10
319,actually,10
321,t…,10
322,other,10
320,you're,10
324,subscription,10
325,else,10
326,doing,10
327,special,10
328,stay,10
329,picks,10
375,enough,9
368,didn't,9
369,short,9
370,@booksmart,9
371,miss,9
372,"""‘one",9
373,time”,9
374,@stranger_things,9
382,week,9
376,s…,9
377,took,9
378,julia,9
379,ok,9
380,mad,9
381,giving,9
366,anything,9
367,look,9
354,called,9
365,anima,9
356,@fluffyguy,9
364,jacobs,9
348,tweet,9
349,kind,9
350,video,9
352,@beaniefeldstein,9
353,available,9
355,same,9
351,she,9
357,@davidscottjaffe,9
358,marvel,9
359,set,9
360,use,9
361,added,9
362,damn,9
363,thanks,9
414,sign,8
406,“one,8
407,trailer,8
408,excited,8
409,catch,8
410,makes,8
411,looking,8
412,amazing,8
413,reason,8
423,nyt,8
415,account,8
416,let,8
417,guy,8
418,@jvn,8
419,there’s,8
420,pretty,8
421,@netflix_ca,8
422,spider,8
404,me:,8
405,month,8
384,leaves,8
403,anymore,8
392,film,8
402,few,8
383,.,8
385,canadian,8
387,show.,8
388,super,8
389,#theoffice,8
390,trinkets,8
391,takes,8
386,days,8
393,times,8
395,very,8
396,little,8
397,hard,8
398,run,8
399,lot,8
400,tonight,8
401,realized,8
394,may,8
464,paid,7
471,music,7
470,call,7
469,clarita,7
468,myself,7
467,tell,7
466,n,7
460,highly,7
463,funny,7
462,santa,7
461,@primevideo,7
459,waiting,7
458,@captainbadger79,7
473,leave,7
472,trying,7
483,cause,7
474,originals,7
475,"""the",7
476,idea,7
477,through,7
478,god,7
479,now.,7
480,sad,7
481,pick,7
482,horror,7
456,isn’t,7
484,to…,7
485,saying,7
486,loved,7
487,comes,7
457,😂😂😂,7
465,months,7
455,add,7
430,english,7
437,stand,7
436,everything,7
435,o…,7
434,it!,7
433,wanna,7
432,were,7
429,:),7
439,past,7
428,stuff,7
427,once,7
426,verse,7
425,renew,7
424,hbo,7
454,weeks,7
438,story,7
431,i…,7
440,probably,7
447,y'all,7
453,@iamthewarax,7
441,second,7
452,world,7
451,wanted,7
450,thought,7
448,looks,7
449,help,7
446,money,7
445,those,7
444,out.,7
443,bought,7
442,yo,7
542,of…,6
543,playing,6
536,#intothespiderverse,6
541,cannot,6
540,hell,6
539,netflix??,6
538,totally,6
537,and…,6
530,“the,6
535,dead,6
534,read,6
533,@youtube,6
532,ty,6
531,@freeformtv,6
529,bro,6
528,game,6
545,american,6
544,access,6
561,boy,6
546,using,6
556,now!,6
526,mom,6
563,petition!,6
562,@therealmikeepps,6
560,hours,6
559,didn’t,6
558,iglesias,6
557,#moreodaat,6
555,feeling,6
547,+,6
554,this.,6
553,july,6
552,rid,6
551,around,6
550,might,6
549,thats,6
548,renewed,6
527,nothing,6
512,forever,6
525,–,6
496,they’re,6
503,year,6
502,premium,6
501,stranger,6
500,making,6
499,million,6
498,old,6
497,netfl…,6
495,designated,6
505,m…,6
494,:(,6
492,it?,6
491,soon,6
490,f…,6
489,which,6
524,needs,6
488,@change,6
504,chicks,6
493,netflix!!!,6
506,o,6
516,person,6
522,#savescorpion,6
507,mr.,6
523,👀,6
521,change,6
519,work,6
518,wow,6
517,tried,6
520,bitch,6
515,save,6
509,three,6
513,losing,6
508,such,6
511,star,6
510,13,6
514,gotta,6
639,minutes,5
640,=,5
641,😊,5
642,tomorrow,5
643,network,5
645,subtitles,5
644,reasons,5
646,2019,5
647,basically,5
637,far,5
649,push,5
648,upset,5
638,real,5
630,dvd,5
636,sa,5
635,doesn't,5
634,c…,5
633,canceling,5
632,wants,5
631,💯,5
629,official,5
628,i'll,5
627,gave,5
626,that…,5
625,bout,5
651,"know,",5
624,acting,5
650,him,5
668,phone,5
652,sit,5
653,late,5
622,top,5
678,"also,",5
677,recently,5
676,crazy,5
675,que,5
674,deal,5
673,#netflix.,5
672,name,5
671,vs,5
670,decide,5
669,lucifer,5
667,smh,5
666,without,5
665,epps,5
664,*,5
663,shows.,5
662,anymore.,5
661,musical,5
660,movie.,5
659,tho,5
658,jessica,5
657,what's,5
656,man.,5
655,honestly,5
654,currently,5
623,used,5
586,society,5
621,is.,5
577,wonder,5
590,6,5
589,isn't,5
588,spiderman,5
587,suggestions,5
585,between,5
584,netflix?!,5
583,data,5
582,let’s,5
581,th…,5
580,ozark,5
579,anime,5
578,mean,5
576,spotify,5
592,must,5
575,won't,5
574,petition,5
573,etc.,5
572,disney,5
571,needed,5
569,country,5
568,@constantinfilm,5
567,!!!,5
566,kids,5
565,thriller,5
564,"it,",5
620,'the,5
591,everybody,5
570,rest,5
593,hit,5
607,listening,5
619,1.,5
594,odaat,5
618,house,5
617,ready,5
615,news,5
614,realize,5
613,tem,5
612,",",5
611,"hulu,",5
610,...,5
609,told,5
608,piece,5
616,says,5
606,away,5
600,asked,5
605,jones,5
595,eat,5
597,de,5
599,finish,5
598,truly,5
601,netflix!!,5
602,mike,5
603,fans,5
604,pose,5
596,lmao,5
794,"man,",4
795,😔,4
802,high,4
796,released,4
797,evil,4
798,download,4
799,couldn’t,4
800,fan,4
801,@lyric_and_lines,4
807,it…,4
803,acc,4
804,sorry,4
805,wtf,4
806,hear,4
808,online,4
810,bringing,4
811,bunch,4
812,ahhhh,4
792,@hbo,4
813,inspires,4
793,except,4
779,@jvscribbles,4
791,#whiskeycavalier,4
790,too.,4
815,@joerogan,4
771,media,4
772,asleep,4
773,choose,4
774,yay,4
775,tinder,4
776,password,4
777,current,4
778,@gaggeth,4
780,night.,4
781,💕,4
782,she’s,4
783,hooked,4
784,off.,4
785,"""netflix",4
786,rather,4
787,anderson,4
788,😭😭😭,4
789,personality,4
814,baby,4
844,@isabella_gomez,4
816,suck,4
839,praised,4
841,wow.,4
842,cool,4
843,watch.,4
845,i'd,4
846,job,4
847,beats,4
848,diet,4
849,listen,4
850,starring,4
851,kept,4
852,dragon,4
853,#mriglesias,4
854,means,4
855,important,4
856,date,4
857,living,4
858,death,4
859,skyfox,4
769,till,4
840,netflix..,4
838,begging,4
817,"@netflix,",4
837,the…,4
818,dub,4
819,me.,4
820,@rickygervais,4
821,haven't,4
822,"prime,",4
823,favor,4
824,removed,4
825,pulled,4
826,/,4
827,idk,4
828,season.,4
829,funny.,4
830,try,4
831,orange,4
832,mother,4
833,truth,4
834,#anima,4
835,@warnerbrostv,4
836,engadget,4
770,episode.,4
809,"me,",4
768,ver,4
701,games,4
703,"please,",4
704,see…,4
705,👍,4
706,freaking,4
707,spiderman:,4
708,talking,4
709,@netflixuk,4
710,perfect,4
711,live,4
712,"office,",4
713,direct,4
714,@eddyburback,4
715,@thr,4
716,summer,4
717,4th,4
718,channel,4
719,forgot,4
720,bye,4
721,red,4
702,human,4
700,turned,4
723,fine,4
699,fact,4
767,hello,4
680,rewatching,4
682,"#wynonnaearp,",4
683,bitches,4
684,imma,4
685,lose,4
686,enjoyed,4
687,@milywrites,4
688,@douglashespelt,4
689,liked,4
690,canada,4
691,half,4
692,dois,4
693,yesterday,4
694,can…,4
695,cable,4
696,keeps,4
697,survivor,4
698,da,4
722,!!,4
681,lol.,4
724,1st,4
746,different,4
748,"now,",4
749,lets,4
750,@netflix.,4
751,seems,4
752,whether,4
753,carmen,4
754,instead,4
755,swear,4
756,speak,4
757,happen.,4
758,netflix…,4
